date,acitve_user
2018-05-01,2830
2018-05-02,333893
2018-05-03,341539
2018-05-04,350451
2018-05-05,350957
2018-05-06,351161
2018-05-07,347310
2018-05-08,347407
2018-05-09,286317
2018-05-10,318275
2018-05-11,163929
2018-05-12,347605
2018-05-13,348300
2018-05-14,131192
2018-05-15,72188
2018-05-16,73165
2018-05-17,41765
2018-05-18,26393
2018-05-20,826
2018-05-21,138633
2018-05-22,1190
2018-05-23,82476
2018-05-24,52597
2018-05-25,66661
2018-05-26,63688
2018-05-27,92568
2018-05-28,145310
2018-05-29,52276
2018-05-30,36466
2018-05-31,16074
2018-06-01,15970
2018-06-02,16026
2018-06-03,15874
2018-06-04,22191
2018-06-05,16532
2018-06-06,16175
2018-06-07,16226
2018-06-08,16255
2018-06-09,16287
2018-06-10,16404
2018-06-11,16309
2018-06-12,16406
2018-06-13,1144
