date,acitve_user,amount
2018-05-01,2830,236000.0
2018-05-02,333893,31058000.0
2018-05-03,341539,31484000.0
2018-05-04,350451,32048000.0
2018-05-05,350957,32176000.0
2018-05-06,351161,32276000.0
2018-05-07,347310,32654000.0
2018-05-08,347407,32944000.0
2018-05-09,286317,26612000.0
2018-05-10,318275,29354000.0
2018-05-11,163929,15246000.0
2018-05-12,347605,31846000.0
2018-05-13,348300,31564000.0
2018-05-14,131192,206886000.0
2018-05-15,72188,293872000.0
2018-05-16,73165,294596000.0
2018-05-17,41765,369406000.0
2018-05-18,26393,216590000.0
2018-05-20,826,260000.0
2018-05-21,138633,542324000.0
2018-05-22,1190,460000.0
2018-05-23,82476,343120000.0
2018-05-24,52597,197384000.0
2018-05-25,66661,235170000.0
2018-05-26,63688,122758000.0
2018-05-27,92568,122108000.0
2018-05-28,145310,566802000.0
2018-05-29,52276,161232000.0
2018-05-30,36466,175444000.0
2018-05-31,16074,154302000.0
2018-06-01,15970,115296000.0
2018-06-02,16026,104038000.0
2018-06-03,15874,104178000.0
2018-06-04,22191,125696000.0
2018-06-05,16532,107862000.0
2018-06-06,16175,106798000.0
2018-06-07,16226,105188000.0
2018-06-08,16255,105228000.0
2018-06-09,16287,103558000.0
2018-06-10,16404,105182000.0
2018-06-11,16309,103076000.0
2018-06-12,16406,103780000.0
2018-06-13,1144,1054000.0
