campaign,country,acitve_user,amount
campaign1,gb,48672,0.0
campaign1,ge,24111,0.0
campaign1,jp,48671,0.0
campaign1,kr,73133,0.0
campaign1,us,48638,0.0
campaign1,,7974,0.0
campaign2,gb,60478,0.0
campaign2,ge,30154,0.0
campaign2,jp,60430,0.0
campaign2,kr,91362,0.0
campaign2,us,60935,0.0
campaign2,,9986,0.0
campaign3,gb,12704,0.0
campaign3,ge,6311,0.0
campaign3,jp,12668,0.0
campaign3,kr,18875,0.0
campaign3,us,12525,0.0
campaign3,,2024,0.0
,gb,461453,0.0
,ge,230775,0.0
,jp,461845,0.0
,kr,691885,0.0
,us,460928,0.0
,,108591,0.0
