first_open,firstopen_day,D+0,D+1,D+2,D+3,D+7
2018-05-01,1387,1387,0,0,0,0
2018-05-02,161986,161986,0,0,0,0
2018-05-03,166300,166300,0,0,0,0
2018-05-04,170683,170683,1,0,10,0
2018-05-05,170134,170134,0,0,1087,0
2018-05-06,169761,169761,0,0,1155,0
2018-05-07,168096,168096,0,0,0,0
2018-05-08,168138,168138,130,0,0,0
2018-05-09,139696,139696,2003,12,15,0
2018-05-10,154202,154202,638,2102,33,0
2018-05-11,79659,79659,0,109,493,0
2018-05-12,169346,169346,0,0,0,0
2018-05-13,169504,169504,0,0,0,0
2018-05-14,89409,89409,175,0,0,0
2018-05-15,72012,72012,173,0,0,0
2018-05-16,72988,72988,173,0,0,0
2018-05-17,41585,41585,317,0,435,0
2018-05-18,26069,26069,0,179,842,0
2018-05-20,118,118,118,0,0,0
2018-05-21,84170,84170,0,0,0,0
2018-05-22,167,167,167,0,0,0
2018-05-23,64736,64736,613,500,1000,0
2018-05-24,51271,51271,12069,0,0,0
2018-05-25,53379,53379,15290,5115,2940,0
2018-05-26,47185,47185,39091,23452,0,0
2018-05-27,46729,46729,45953,0,0,0
2018-05-28,62241,62241,122,35,70,0
2018-05-29,44461,44461,13739,89,178,0
2018-05-30,18596,18596,115,76,152,0
2018-05-31,14572,14572,105,74,148,0
2018-06-01,14402,14402,95,73,146,0
2018-06-02,14394,14394,21,0,0,0
2018-06-03,14243,14243,31,0,0,0
2018-06-04,20550,20550,37,0,0,0
2018-06-05,14885,14885,49,26,52,0
2018-06-06,14516,14516,32,0,0,0
2018-06-07,14558,14558,174,144,144,0
2018-06-08,14445,14445,82,60,60,0
2018-06-09,14425,14425,82,60,60,0
2018-06-10,14482,14482,87,60,31,0
2018-06-11,14322,14322,87,30,0,0
2018-06-12,14359,14359,69,0,0,0
2018-06-13,137,137,0,0,0,0
,581,0,0,0,0,0
